Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Self-Assembler",4,62059,Common,KLD,232/264,No
"Selfless Cathar",4,53380,Common,M15,31/269,No
"Sentinel Sliver",4,49511,Common,M14,30/249,No
"Sequestered Stash",4,61825,Uncommon,KLD,248/264,No
"Seraph of the Sword",4,49541,Rare,M14,31/249,No
"Serpent's Gift",4,45676,Common,M13,190/249,No
"Serum Visions",4,36280,Common,PRM,223/1158,No
"Servo Exhibition",4,61891,Uncommon,KLD,27/264,No
"Servo Schematic",4,62837,Uncommon,AER,176/184,No
"Shadow Rift",4,9637,Common,TE,86/350,No
"Shadowcloak Vampire",4,53674,Common,M15,113/269,No
"Shaman of Spring",4,53436,Common,M15,199/269,No
"Shaman of the Pack",3,60873,Uncommon,EMA,205/249,No
"Shaman of the Pack",1,58091,Uncommon,ORI,217/272,Yes
"Shard Volley",4,29098,Common,MOR,103/150,No
"Shielded Aether Thief",4,62633,Uncommon,AER,44/184,No
"Shimmering Grotto",1,42683,Common,ISD,246/264,Yes
"Shimmering Grotto",3,28489,Common,LRW,273/301,No
"Shinen of Life's Roar",4,21956,Common,SOK,149/165,No
"Shipwreck Moray",4,62619,Common,AER,45/184,No
"Shock",4,62923,Common,AER,98/184,No
"Shreds of Sanity",4,61196,Uncommon,EMN,141/205,No
"Shrill Howler",4,61242,Uncommon,EMN,168/205,No
"Shrivel",4,36508,Common,ROE,126/248,No
"Sidewinder Sliver",4,25835,Common,TSP,41/301,No
"Siege Modification",4,62741,Uncommon,AER,99/184,No
"Siege Rhino",4,54180,Rare,KTK,200/269,No
"Siege Wurm",4,53776,Common,M15,200/269,No
"Siege-Gang Commander",2,33027,Rare,M10,157/249,No
"Siege-Gang Commander",1,28857,Rare,EVG,32/62,Yes
"Siege-Gang Commander",1,27550,Rare,10E,234/383,No
"Sigarda's Aid",4,61282,Rare,EMN,41/205,No
"Sigardian Priest",4,61300,Common,EMN,42/205,No
"Sightless Ghoul",4,43341,Common,DKA,73/158,No
"Sign in Blood",4,53296,Common,M15,114/269,No
"Signal Pest",4,39599,Uncommon,MBS,131/155,No
"Silhana Ledgewalker",4,23623,Common,GPT,94/165,No
"Silkweaver Elite",4,62785,Common,AER,125/184,No
"Silver Myr",4,19985,Common,MRD,241/306,No
"Silverblade Paladin",4,44279,Rare,AVR,36/244,No
"Silvercoat Lion",4,32623,Common,M10,32/249,No
"Silverfur Partisan",4,60040,Rare,SOI,228/297,No
"Silvergill Adept",1,28196,Uncommon,LRW,86/301,Yes
"Silvergill Adept",3,28195,Uncommon,LRW,86/301,No
"Simic Ragworm",4,24293,Common,DIS,93/180,No
"Sinew Sliver",4,26383,Common,PLC,30/165,No
"Skarrgan Pit-Skulk",4,23763,Common,GPT,96/165,No
"Skinshifter",4,41391,Rare,M12,195/249,No
"Skirk Prospector",4,53040,Common,VMA,186/325,Yes
"Skirsdag Supplicant",4,61376,Common,EMN,104/205,No
"Skullcrack",4,47901,Uncommon,GTC,106/249,No
"Sky Skiff",4,62081,Common,KLD,233/264,No
"Skyhunter Prowler",4,22837,Common,9ED,45/350,No
"Skylasher",4,48304,Rare,DGM,49/156,No
"Skyship Plunderer",4,62635,Uncommon,AER,46/184,No
"Skyship Stalker",4,61721,Rare,KLD,130/264,No
"Skyshroud Elf",4,9535,Common,TE,255/350,No
"Skyswirl Harrier",4,61611,Common,KLD,28/264,No
"Skywhaler's Shot",4,61627,Uncommon,KLD,29/264,No
"Slayer's Plate",4,60108,Rare,SOI,264/297,No
"Sleight of Hand",4,15846,Common,7E,98/350,No
"Slippery Bogle",4,29954,Common,EVE,160/180,No
"Sly Requisitioner",4,62687,Uncommon,AER,72/184,No
"Smash",4,23042,Common,RAV,143/306,No
"Smash to Smithereens",3,57068,Common,MM2,124/249,No
"Smash to Smithereens",1,29769,Common,SHM,107/301,No
"Smite the Monstrous",4,58755,Common,BFZ,49/274,No
"Smoldering Werewolf",4,61188,Uncommon,EMN,142/205,No
"Smother",4,35751,Uncommon,WWK,68/145,No
"Snapping Creeper",4,35581,Common,WWK,112/145,No
"Snapping Gnarlid",4,58539,Common,BFZ,190/274,No
"Snare Thopter",4,62077,Uncommon,KLD,236/264,No
"Sneaky Homunculus",4,19199,Common,8ED,101/350,No
"Snowhorn Rider",4,54414,Common,KTK,201/269,No
"Sol Ring",1,59019,Uncommon,PZ1,129/149,No
"Sol Ring",1,51096,Uncommon,C13,259/356,No
"Sol Ring",2,40609,Uncommon,CMD,261/318,No
"Solitary Hunter",4,59988,Common,SOI,229/297,No
"Soliton",4,38141,Common,SOM,204/249,No
"Somber Hoverguard",4,57356,Common,MM2,57/249,No
"Somberwald Stag",4,61252,Uncommon,EMN,169/205,No
"Soul Separator",4,61490,Rare,EMN,199/205,No
"Soul Swallower",4,60136,Rare,SOI,230/297,No
"Soul Warden",4,10625,Common,EX,21/143,No
"Soulblade Djinn",4,57900,Rare,ORI,75/272,No
"Soulmender",4,53446,Common,M15,35/269,No
"Soul's Attendant",4,36462,Common,ROE,44/248,No
"Spark Jolt",4,50566,Common,THS,140/249,No
"Spark of Creativity",4,61715,Uncommon,KLD,131/264,No
"Sparkmage Apprentice",4,32945,Common,M10,158/249,No
"Sparksmith",4,18009,Common,ONS,235/350,No
"Spectral Procession",4,57348,Uncommon,MM2,33/249,No
"Spectral Reserves",4,61070,Common,EMN,43/205,No
"Speedway Fanatic",4,61977,Uncommon,KLD,132/264,No
"Spell Blast",4,56522,Common,TPR,69/269,No
"Spell Pierce",4,34442,Common,ZEN,67/249,No
"Spell Snare",4,49014,Uncommon,MMA,64/229,No
"Spellheart Chimera",4,50590,Uncommon,THS,204/249,No
"Spellstutter Sprite",4,28243,Common,LRW,89/301,No
"Sphinx's Tutelage",4,57908,Uncommon,ORI,76/272,No
"Spider Spawning",4,42397,Uncommon,ISD,203/264,Yes
"Spider Umbra",4,36684,Common,ROE,208/248,No
"Spike Breeder",4,56850,Uncommon,TPR,194/269,No
"Spike Colony",4,10389,Common,ST,117/143,No
"Spike Feeder",1,40485,Uncommon,CMD,172/318,No
"Spike Feeder",3,26117,Rare,TSB,84/121,No
"Spike Worker",4,10395,Common,ST,120/143,No
"Spineless Thug",4,19209,Common,8ED,166/350,No
"Spinneret Sliver",4,25597,Common,TSP,219/301,No
"Spire Golem",4,20515,Common,DST,145/165,No
"Spire Patrol",4,62809,Uncommon,AER,136/184,No
"Spireside Infiltrator",4,61967,Common,KLD,133/264,No
"Spirit Bonds",2,53523,Rare,M15,37/269,Yes
"Spirit Bonds",2,53522,Rare,M15,37/269,No
"Spirit Mantle",4,41395,Uncommon,M12,35/249,No
"Spirit of the Hunt",4,61260,Rare,EMN,170/205,No
"Splendid Reclamation",4,61442,Rare,EMN,171/205,No
"Splinter Twin",4,36426,Rare,ROE,165/248,No
"Spontaneous Artist",4,61703,Common,KLD,134/264,No
"Spontaneous Mutation",4,61126,Common,EMN,74/205,No
"Sporesower Thallid",4,25593,Uncommon,TSP,220/301,No
"Sporoloth Ancient",4,26672,Common,FUT,152/180,No
"Spreading Flames",4,61216,Uncommon,EMN,143/205,No
"Spreading Seas",4,34610,Common,ZEN,70/249,No
"Springjack Shepherd",4,30064,Uncommon,EVE,15/180,No
"Springleaf Drum",4,51871,Uncommon,BNG,162/165,No
"Springsage Ritual",4,61436,Common,EMN,172/205,No
"Sprout Swarm",4,26812,Common,FUT,138/180,No
"Squadron Hawk",4,60709,Common,EMA,31/249,No
"Squirrel Nest",4,16515,Uncommon,OD,274/350,No
"Staggershock",4,36556,Common,ROE,166/248,No
"Start Your Engines",4,61981,Uncommon,KLD,135/264,No
"Steadfast Cathar",4,61074,Common,EMN,44/205,No
"Stealer of Secrets",4,46577,Common,RTR,53/274,No
"Steel Sabotage",4,39323,Common,MBS,33/155,No
"Stensia Banquet",4,61398,Common,EMN,144/205,No
"Stensia Innkeeper",4,61414,Common,EMN,145/205,No
"Stensia Masquerade",4,60146,Uncommon,SOI,184/297,No
"Steppe Lynx",4,34384,Common,ZEN,36/249,No
"Stingscourger",4,48630,Common,MMA,131/229,No
"Stinkweed Imp",4,23280,Common,RAV,107/306,No
"Stitcher's Graft",4,61492,Rare,EMN,200/205,No
"Stoic Builder",4,60280,Common,SOI,231/297,No
"Stone Quarry",4,59992,Uncommon,SOI,279/297,No
"Stone Rain",4,22399,Common,9ED,221/350,No
"Stormbound Geist",4,43309,Common,DKA,51/158,No
"Stormchaser Mage",4,59453,Uncommon,OGW,159/184,No
"Stormfront Riders",4,37661,Uncommon,DDF,17/79,No
"Strange Augmentation",4,61378,Common,EMN,105/205,No
"Strangleroot Geist",4,43153,Uncommon,DKA,127/158,No
"Street Wraith",4,48668,Common,MMA,99/229,No
"Streetbreaker Wurm",4,23875,Common,GPT,133/165,No
"Strength of Arms",4,60344,Common,SOI,40/297,No
"Stromkirk Occultist",4,61212,Rare,EMN,146/205,No
"Structural Distortion",4,60238,Common,SOI,185/297,No
"Stubborn Denial",4,54308,Uncommon,KTK,56/269,No
"Subjugator Angel",4,61076,Uncommon,EMN,45/205,No
"Subtle Strike",4,61665,Common,KLD,100/264,No
"Succumb to Temptation",4,61380,Common,EMN,107/205,No
"Sudden Shock",4,25697,Uncommon,TSP,179/301,No
"Suicidal Charge",4,31813,Common,CON,128/145,No
"Sultai Emissary",4,55390,Common,FRF,85/185,No
"Sultai Scavenger",4,54324,Common,KTK,91/269,No
"Summer Bloom",4,22287,Uncommon,9ED,273/350,No
"Sundering Growth",4,46641,Common,RTR,223/274,No
"Sungrace Pegasus",4,53700,Common,M15,38/269,No
"Sunlance",4,57006,Common,MM2,34/249,No
"Sunspear Shikari",4,38235,Common,SOM,23/249,No
"Sunstrike Legionnaire",4,18487,Rare,LGN,22/145,No
"Surge of Thoughtweft",4,28623,Common,LRW,43/301,No
"Surrakar Marauder",4,34490,Common,ZEN,113/249,No
"Survive the Night",4,60120,Common,SOI,41/297,No
"Suture Priest",4,39766,Common,NPH,25/175,No
"Swan Song",4,50440,Rare,THS,65/249,No
"Sweatworks Brawler",4,62717,Common,AER,100/184,No
"Swift Spinner",4,61248,Common,EMN,173/205,No
"Swiftwater Cliffs",4,55532,Common,FRF,172/185,No
"Sylvan Ranger",4,37108,Common,M11,198/249,No
"Sylvan Scrying",4,58481,Uncommon,BFZ,192/274,No
"Sylvok Lifestaff",4,38173,Common,SOM,209/249,No
"Take Down",4,61727,Common,KLD,170/264,No
"Take into Custody",4,62623,Common,AER,47/184,No
"Take Inventory",4,61352,Common,EMN,76/205,No
"Talon Sliver",4,9661,Common,TE,50/350,No
"Tangle",4,14557,Uncommon,IN,213/350,No
"Tangleclaw Werewolf",4,61238,Uncommon,EMN,174/205,No
"Tattered Haunter",4,61338,Common,EMN,77/205,No
"Taunting Elf",4,18125,Common,ONS,290/350,No
"Tectonic Rift",4,41500,Uncommon,M12,157/249,Yes
"Tempered Steel",4,38103,Rare,SOM,24/249,No
"Tempest of Light",4,22801,Uncommon,9ED,50/350,No
"Temur Battle Rage",4,55524,Common,FRF,116/185,No
"Tenacity",4,60190,Uncommon,SOI,42/297,No
"Tendrils of Corruption",4,25373,Common,TSP,136/301,No
"Terraformer",4,23148,Common,RAV,70/306,No
"Terramorphic Expanse",2,27757,Common,10E,360/383,No
"Terramorphic Expanse",2,25785,Common,TSP,279/301,No
"Terrarion",4,61496,Common,EMN,201/205,No
"Territorial Baloth",4,34362,Common,ZEN,188/249,No
"Territorial Gorger",4,61707,Rare,KLD,136/264,No
"Tezzeret's Touch",4,62811,Uncommon,AER,138/184,No
"Thallid",3,48878,Common,MMA,167/229,No
"Thallid",1,26045,Rare,TSB,86/121,No
"Thallid Devourer",4,30372,Common,ME2,181/245,No
"Thallid Germinator",4,25719,Common,TSP,225/301,No
"Thallid Shell-Dweller",4,25345,Common,TSP,226/301,No
"The Gitrog Monster",4,60004,Mythic Rare,SOI,245/297,No
"Thelonite Hermit",4,25918,Rare,TSP,228/301,Yes
"Thermo-Alchemist",4,61198,Common,EMN,147/205,No
"Thing in the Ice",4,59868,Rare,SOI,92/297,No
"Think Twice",4,42534,Common,ISD,83/264,No
"Thirst for Knowledge",3,48846,Uncommon,MMA,67/229,No
"Thirst for Knowledge",1,19705,Uncommon,MRD,53/306,No
"Thirsting Axe",4,61272,Uncommon,EMN,202/205,No
"Thopter Arrest",4,62597,Uncommon,AER,25/184,No
"Thopter Foundry",4,32420,Uncommon,ARB,133/145,No
"Thornwind Faeries",4,12577,Common,UL,44/143,No
"Thornwood Falls",1,60863,Common,EMA,246/249,No
"Thornwood Falls",3,54074,Common,KTK,244/269,No
"Thought Scour",4,43399,Common,DKA,52/158,No
"Thoughtcast",4,57360,Common,MM2,64/249,No
"Thraben Foulbloods",4,61368,Common,EMN,108/205,No
"Thraben Inspector",4,60240,Common,SOI,44/297,No
"Thraben Standard Bearer",4,61312,Common,EMN,48/205,No
"Thrill of the Hunt",4,25491,Common,TSP,229/301,No
"Thriving Grubs",4,61969,Common,KLD,138/264,No
"Thriving Ibex",4,61873,Common,KLD,31/264,No
"Thriving Rats",4,61935,Common,KLD,102/264,No
"Thriving Rhino",4,61743,Common,KLD,171/264,No
"Thriving Turtle",4,61901,Common,KLD,66/264,No
"Thrumming Stone",4,24811,Rare,CSP,142/155,No
"Tideforce Elemental",4,35509,Uncommon,WWK,41/145,No
"Tidehollow Sculler",4,31125,Uncommon,ALA,202/249,No
"Timbermaw Larva",4,34488,Common,ZEN,189/249,No
"Timberwatch Elf",4,60953,Uncommon,EMA,190/249,No
"Timely Reinforcements",4,41355,Uncommon,M12,40/249,No
"Tormod's Crypt",4,45250,Uncommon,M13,219/249,No
"Tragic Slip",4,43189,Common,DKA,76/158,No
"Tranquil Cove",3,60865,Common,EMA,247/249,No
"Tranquil Cove",1,54464,Common,KTK,246/269,No
"Tranquil Thicket",1,40683,Common,CMD,292/318,No
"Tranquil Thicket",3,18243,Common,ONS,326/350,No
"Traverse the Ulvenwald",4,60332,Rare,SOI,234/297,No
"Treasure Keeper",4,62879,Uncommon,AER,177/184,No
"Tree Monkey",4,22975,Common,9ED,275/350,No
"Tree of Tales",4,20249,Common,MRD,285/306,No
"Trespasser il-Vec",4,25427,Common,TSP,138/301,No
"Tresserhorn Sinks",4,24531,Uncommon,CSP,150/155,No
"Tribal Flames",4,26145,Rare,TSB,70/121,No
"Trickery Charm",4,17807,Common,ONS,119/350,No
"Trinket Mage",4,20718,Common,5DN,39/165,No
"Triplicate Spirits",4,53614,Common,M15,40/269,No
"Triskaidekaphobia",4,60016,Rare,SOI,141/297,No
"Trumpet Blast",4,12865,Common,UD,98/143,No
"Trusty Companion",4,61869,Uncommon,KLD,33/264,No
"Tuktuk Grunts",4,34616,Common,ZEN,152/249,No
"Turn Aside",4,61356,Common,EMN,78/205,No
"Turntimber Basilisk",4,34440,Uncommon,ZEN,190/249,No
"Turntimber Ranger",4,34354,Rare,ZEN,191/249,No
"Twin Bolt",4,56276,Common,DTK,164/264,No
"Twisted Abomination",4,26199,Rare,TSB,50/121,No
"Two-Headed Cerberus",4,50186,Common,THS,146/249,No
"Ulamog's Crusher",4,36664,Common,ROE,13/248,No
"Ulvenwald Captive",4,61462,Common,EMN,175/205,No
"Ulvenwald Mysteries",4,60266,Uncommon,SOI,236/297,No
"Ulvenwald Observer",4,61452,Rare,EMN,176/205,No
"Umara Entangler",4,59385,Common,OGW,65/184,No
"Umbra Stalker",4,30188,Rare,EVE,48/180,No
"Unbridled Growth",4,62777,Common,AER,126/184,No
"Unburial Rites",4,42482,Uncommon,ISD,122/264,No
"Undergrowth Scavenger",4,53772,Common,M15,204/269,No
"Unflinching Courage",4,48432,Uncommon,DGM,111/156,No
"Uninvited Geist",4,59822,Uncommon,SOI,94/297,No
"Universal Solvent",4,62863,Common,AER,178/184,No
"Unlicensed Disintegration",4,62031,Uncommon,KLD,187/264,No
"Unruly Mob",4,59744,Common,SOI,47/297,No
"Unsubstantiate",4,61136,Uncommon,EMN,79/205,No
"Untethered Express",4,62885,Uncommon,AER,179/184,No
"Urza's Mine",4,19601,Uncommon,8ED,328/350,No
"Urza's Power Plant",4,38782,Basic Land,ME4,258/260,No
"Urza's Tower",4,22779,Uncommon,9ED,329/350,No
"Utopia Mycon",4,26714,Uncommon,FUT,140/180,No
"Utopia Sprawl",4,24297,Common,DIS,99/180,No
"Utopia Tree",4,22521,Rare,9ED,277/350,No
"Vampire Cutthroat",4,61392,Uncommon,EMN,110/205,No
"Vampire Nighthawk",4,45354,Uncommon,M13,112/249,No
"Vandalblast",4,46405,Uncommon,RTR,111/274,No
"Vapor Snag",4,57322,Common,MM2,66/249,No
"Vastwood Hydra",4,49401,Rare,M14,198/249,No
"Vault of Whispers",4,20019,Common,MRD,286/306,No
"Vault Skirge",4,39770,Common,NPH,76/175,No
"Vedalken Blademaster",4,61645,Common,KLD,68/264,No
"Vengeful Rebel",4,62685,Uncommon,AER,73/184,No
"Verdant Automaton",4,62849,Common,AER,180/184,No
"Verduran Enchantress",4,15956,Rare,7E,280/350,No
"Vessel of Ephemera",4,60352,Common,SOI,48/297,No
"Vessel of Malignity",4,60278,Common,SOI,144/297,No
"Vessel of Nascency",4,60230,Common,SOI,237/297,No
"Vessel of Paramnesia",4,60250,Common,SOI,95/297,No
"Vessel of Volatility",4,60234,Common,SOI,189/297,No
"Veteran Armorer",4,23226,Common,RAV,34/306,No
"Veteran Motorist",4,62039,Uncommon,KLD,188/264,No
"Vexing Scuttler",4,61358,Uncommon,EMN,11/205,No
"Victim of Night",4,42272,Common,ISD,124/264,No
"Vildin-Pack Outcast",4,61202,Common,EMN,148/205,No
"Village Messenger",4,60028,Uncommon,SOI,190/297,No
"Vines of Vastwood",4,34410,Common,ZEN,193/249,No
"Violent Outburst",4,32434,Common,ARB,63/145,No
"Viper's Kiss",4,50174,Common,THS,109/249,No
"Viridian Longbow",4,19735,Common,MRD,270/306,No
"Virulent Sliver",4,26722,Common,FUT,155/180,No
"Viscera Seer",4,37492,Common,M11,120/249,No
"Visionary Augmenter",4,61617,Uncommon,KLD,34/264,No
"Vitaspore Thallid",4,26439,Common,PLC,143/165,No
"Volcanic Hammer",4,19481,Common,8ED,231/350,No
"Volcanic Upheaval",4,58599,Common,BFZ,161/274,No
"Voltaic Brawler",4,61767,Uncommon,KLD,189/264,No
"Wail of the Nim",4,19865,Common,MRD,81/306,No
"Wailing Ghoul",4,61156,Common,EMN,112/205,No
"Wall of Blossoms",4,50026,Mythic Rare,V13,6/20,Yes
"Wall of Omens",4,59009,Uncommon,PZ1,16/149,No
"Wall of Torches",4,41405,Common,M12,159/249,No
"Warden of Geometries",4,59611,Common,OGW,11/184,No
"Warren Weirding",4,29082,Uncommon,MOR,82/150,No
"Watchful Automaton",4,62845,Common,AER,182/184,No
"Waxing Moon",4,61430,Common,EMN,177/205,No
"Weaponcraft Enthusiast",4,61943,Uncommon,KLD,105/264,No
"Wear/Tear",4,48524,Uncommon,DGM,,No
"Weaver of Lightning",4,61204,Uncommon,EMN,149/205,No
"Weirded Vampire",4,61140,Common,EMN,113/205,No
"Weirding Shaman",4,29158,Rare,MOR,84/150,No
"Weirding Wood",4,60096,Uncommon,SOI,240/297,No
"Welder Automaton",4,62839,Common,AER,183/184,No
"Weldfast Engineer",4,62813,Uncommon,AER,139/184,No
"Welding Jar",4,20121,Common,MRD,274/306,No
"Welding Sparks",4,61983,Common,KLD,140/264,No
"Wellwisher",4,18119,Common,ONS,300/350,No
"Whirlermaker",4,62065,Uncommon,KLD,239/264,No
"Whispers of Emrakul",4,61366,Uncommon,EMN,114/205,No
"Whitemane Lion",4,26307,Common,PLC,22/165,No
"Wight of Precinct Six",4,47737,Uncommon,GTC,84/249,No
"Wild Growth",4,15952,Common,7E,282/350,No
"Wild Mongrel",4,16619,Common,OD,283/350,No
"Wild Nacatl",4,31061,Common,ALA,152/249,No
"Wildest Dreams",4,61757,Rare,KLD,174/264,No
"Wildsize",4,23893,Common,GPT,98/165,No
"Wilt-Leaf Liege",4,57064,Rare,MM2,200/249,No
"Winding Constrictor",4,62823,Uncommon,AER,140/184,No
"Wind-Kin Raiders",4,62641,Uncommon,AER,50/184,No
"Wind-Scarred Crag",1,60861,Common,EMA,249/249,No
"Wind-Scarred Crag",3,54078,Common,KTK,247/269,No
"Windstorm",4,32905,Uncommon,M10,205/249,No
"Wingrattle Scarecrow",4,29584,Common,SHM,270/301,Yes
"Wingsteed Rider",4,50320,Common,THS,36/249,No
"Winter's Grasp",4,10028,Uncommon,TE,265/350,Yes
"Wirewood Pride",4,18133,Common,ONS,303/350,No
"Wispweaver Angel",4,61867,Uncommon,KLD,35/264,No
"Wojek Siren",4,22998,Common,RAV,37/306,No
"Wolfkin Bond",4,61444,Common,EMN,178/205,No
"Woodcutter's Grit",4,61454,Common,EMN,179/205,No
"Woodland Patrol",4,61244,Common,EMN,180/205,No
"Woodland Stream",4,60042,Uncommon,SOI,282/297,No
"Woodweaver's Puzzleknot",4,61809,Common,KLD,240/264,No
"Workshop Assistant",4,62083,Common,KLD,241/264,No
"Worm Harvest",4,30000,Rare,EVE,131/180,No
"Wrack with Madness",4,43207,Common,DKA,107/158,No
"Wrangle",4,62721,Common,AER,101/184,No
"Wrap in Vigor",4,26680,Common,FUT,141/180,No
"Wrench Mind",4,19711,Common,MRD,84/306,No
"Wretched Gryff",4,61110,Common,EMN,12/205,No
"Yavimaya Barbarian",4,14333,Common,IN,290/350,No
"Yavimaya Enchantress",4,22454,Uncommon,9ED,284/350,Yes
"Yawgmoth's Bargain",4,52813,Mythic Rare,VMA,147/325,No
"Young Pyromancer",4,49413,Uncommon,M14,163/249,No
"Young Wolf",4,43457,Common,DKA,134/158,No
"Zada, Hedron Grinder",4,58559,Rare,BFZ,162/274,No
"Zealous Guardian",4,29371,Common,SHM,157/301,No
"Zealous Persecution",4,32300,Uncommon,ARB,85/145,No
"Zodiac Monkey",4,22907,Common,9ED,285/350,No
"Zulaport Cutthroat",4,58401,Uncommon,BFZ,126/274,No
"Accursed Spirit",3,53458,Common,M15,85/269,No
"Adventuring Gear",3,34434,Common,ZEN,195/249,No
"Aetherplasm",3,23741,Uncommon,GPT,22/165,No
"Akroan Hoplite",3,50246,Uncommon,THS,185/249,No
"Amphin Pathmage",3,53722,Common,M15,45/269,No
"Ancient Silverback",3,53322,Uncommon,M15,168/269,No
"Aqueous Form",3,50456,Common,THS,39/249,No
"Archon of Justice",3,41161,Rare,M12,6/249,No
"Armament of Nyx",3,52158,Common,JOU,4/165,No
"Aspect of Hydra",3,51557,Common,BNG,117/165,No
"Asphyxiate",3,51619,Common,BNG,60/165,No
"Atarka Monument",3,55986,Uncommon,DTK,235/264,No
"Baleful Eidolon",3,50164,Common,THS,78/249,No
"Blastfire Bolt",3,53768,Common,M15,130/269,No
"Blasting Station",3,20786,Uncommon,5DN,107/165,No
"Bloodcrazed Hoplite",3,52046,Common,JOU,61/165,No
"Borderland Marauder",3,53388,Common,M15,131/269,No
"Carnivorous Moss-Beast",3,53750,Common,M15,170/269,No
"Chaos Warp",3,52977,Rare,VMA,154/325,No
"Chorus of the Tides",3,51777,Common,BNG,33/165,No
"Claim of Erebos",3,51615,Common,BNG,64/165,No
"Cleric of the Forward Order",3,57868,Common,ORI,10/272,No
"Clone",2,49592,Rare,M14,47/249,Yes
"Clone",1,33073,Rare,M10,45/249,No
"Cloudstone Curio",3,23486,Rare,RAV,257/306,No
"Congregate",2,53272,Uncommon,M15,6/269,No
"Congregate",1,40517,Common,CMD,11/318,No
"Crowd's Favor",3,53706,Common,M15,138/269,No
"Darksteel Ingot",1,49585,Uncommon,M14,207/249,No
"Darksteel Ingot",2,40704,Common,CMD,245/318,No
"Darksteel Plate",3,39357,Rare,MBS,104/155,No
"Dawn Charm",3,26343,Common,PLC,4/165,No
"Deadeye Navigator",3,43913,Rare,AVR,47/244,No
"Divination",3,53294,Common,M15,52/269,No
"Divine Favor",3,53358,Common,M15,10/269,No
"Encrust",3,53428,Common,M15,53/269,No
"Ephara's Enlightenment",3,51859,Uncommon,BNG,146/165,No
"Ephemeral Shields",3,53536,Common,M15,11/269,No
"Eternal Thirst",3,53678,Common,M15,95/269,No
"Fall of the Hammer",3,51639,Common,BNG,93/165,No
"Fate Foretold",3,50560,Common,THS,48/249,No
"Feat of Resistance",3,54266,Common,KTK,10/269,No
"Felhide Petrifier",3,52088,Uncommon,JOU,70/165,No
"Font of Fertility",3,52080,Common,JOU,123/165,No
"Font of Fortunes",3,52008,Common,JOU,38/165,No
"Font of Ire",3,52044,Common,JOU,97/165,No
"Font of Vigor",3,52010,Common,JOU,11/165,No
"Foundry Inspector",3,62095,Uncommon,KLD,215/264,No
"Generator Servant",3,53712,Common,M15,143/269,No
"Glacial Crasher",3,53640,Common,M15,57/269,No
"Goblin Roughrider",3,53314,Common,M15,146/269,No
"Godhunter Octopus",3,52004,Common,JOU,39/165,No
"Great Hart",3,51575,Common,BNG,15/165,No
"Hinterland Harbor",1,42671,Rare,ISD,241/264,Yes
"Hinterland Harbor",2,42670,Rare,ISD,241/264,No
"Hunt the Weak",3,53456,Common,M15,179/269,No
"Hunter's Ambush",3,53654,Common,M15,180/269,No
"Infectious Horror",3,31691,Common,CON,47/145,No
"Invasive Species",3,53644,Common,M15,181/269,No
"Isolated Chapel",3,42652,Rare,ISD,242/264,No
"Juggernaut",3,53746,Uncommon,M15,220/269,No
"Kapsho Kitefins",3,53552,Uncommon,M15,66/269,No
"Kragma Warcaller",3,50242,Uncommon,THS,195/249,No
"Krenko's Enforcer",3,53646,Common,M15,152/269,No
"Lantern Kami",3,21485,Common,CHK,32/306,No
"Lantern Scout",3,58553,Rare,BFZ,37/274,No
"Lightning Greaves",3,40699,Uncommon,CMD,253/318,No
"Long-Term Plans",1,18725,Uncommon,SCG,38/143,Yes
"Long-Term Plans",2,18724,Uncommon,SCG,38/143,No
"Loyal Pegasus",3,51569,Common,BNG,19/165,No
"Marked by Honor",3,53584,Common,M15,17/269,No
"Massive Raid",3,47601,Common,GTC,100/249,No
"Meditation Puzzle",3,53508,Common,M15,19/269,No
"Miner's Bane",3,53716,Common,M15,157/269,No
"Mortal Obstinacy",3,52014,Common,JOU,17/165,No
"Mortify",2,40752,Uncommon,CMD,211/318,No
"Mortify",1,23749,Uncommon,GPT,122/165,No
"Necrobite",3,53414,Common,M15,105/269,No
"Necromancer's Assistant",3,53682,Common,M15,107/269,No
"Netcaster Spider",3,53770,Common,M15,186/269,No
"Niblis of the Mist",3,43263,Common,DKA,15/158,No
"Nimbus of the Isles",3,53656,Common,M15,72/269,No
"Nylea's Disciple",3,50196,Common,THS,167/249,No
"Nyx Infusion",3,52048,Common,JOU,77/165,No
"Nyxborn Rollicker",3,51875,Common,BNG,102/165,No
"Oppressive Rays",3,53474,Common,M15,21/269,No
"Opulent Palace",3,54164,Uncommon,KTK,238/269,No
"Orzhov Signet",2,40748,Common,CMD,255/318,No
"Orzhov Signet",1,23681,Common,GPT,155/165,No
"Peregrination",3,51847,Uncommon,BNG,132/165,No
"Pheres-Band Tromper",3,51649,Common,BNG,134/165,No
"Pillar of Light",3,53762,Common,M15,24/269,No
"Ravenous Leucrocota",3,52264,Common,JOU,136/165,No
"Raven's Crime",3,48784,Common,MMA,95/229,No
"Reach Through Mists",3,48978,Common,MMA,61/229,No
"Roaring Primadox",3,53410,Uncommon,M15,196/269,No
"Rogue's Passage",1,57738,Uncommon,ORI,250/272,No
"Rogue's Passage",2,46723,Uncommon,RTR,245/274,No
"Roil Elemental",3,34536,Rare,ZEN,62/249,No
"Rooftop Storm",1,42493,Rare,ISD,71/264,Yes
"Rooftop Storm",2,42492,Rare,ISD,71/264,No
"Royal Assassin",2,41581,Rare,M12,105/249,No
